Date,Open,High,Low,Close,Adj Close,Volume,3755.73999
1/1/2000,3755.73999,3836.860107,3314.75,3529.600098,3529.600098,7990830000,3558.209961
1/8/2000,3558.209961,3756.169922,3447.899902,3704.73999,3704.73999,8045670000,3704.73999
1/15/2000,3704.73999,3891.810059,3665.870117,3849.959961,3849.959961,7012420000,3888.330078
1/22/2000,3888.330078,3905.100098,3408.030029,3446.129883,3446.129883,8864510000,3438.090088
1/29/2000,3438.090088,3929.810059,3349.060059,3874.370117,3874.370117,7907530000,3873.429932
2/5/2000,3873.429932,4090.26001,3858.889893,3968.889893,3968.889893,8924490000,3969.949951
2/12/2000,3969.949951,4135.600098,3848.370117,3965.75,3965.75,8998760000,3970.530029
2/19/2000,3970.530029,4297.459961,3856.02002,4178.580078,4178.580078,7434640000,4178.580078
2/26/2000,4178.580078,4442.870117,4024.080078,4442.870117,4442.870117,10392860000,4448.47998
3/4/2000,4448.47998,4659.720215,4266.870117,4587.160156,4587.160156,10191100000,4585.160156
3/11/2000,4585.160156,4585.160156,4049.97998,4440.450195,4440.450195,9384930000,4443.350098
3/18/2000,4443.350098,4816.350098,4155.339844,4691.609863,4691.609863,8465810000,4687.600098
3/25/2000,4687.600098,4781.189941,4151.120117,4397.839844,4397.839844,8652700000,4355.700195
4/1/2000,4355.700195,4355.700195,3525.439941,4291.529785,4291.529785,9886600000,4293.629883
4/8/2000,4293.629883,4308.620117,3138.419922,3207.959961,3207.959961,9553900000,3194.5
4/15/2000,3194.5,3753.449951,3107.419922,3505.290039,3505.290039,7818550000,3448.22998
4/22/2000,3448.22998,3790.780029,3200.899902,3773.179932,3773.179932,7888920000,3789.199951
4/29/2000,3789.199951,3871.929932,3435.300049,3688.360107,3688.360107,6903840000,3688.360107
5/6/2000,3688.360107,3688.360107,3234.959961,3406.25,3406.25,6767870000,3404.560059
5/13/2000,3404.560059,3653.76001,3259.179932,3260.639893,3260.639893,6504000000,3261.469971
5/20/2000,3261.469971,3298.459961,2897.27002,3101.439941,3101.439941,7665180000,3101.429932
5/27/2000,3101.429932,3759.810059,3101.429932,3755.669922,3755.669922,6474540000,3742.280029
6/3/2000,3742.280029,3817.25,3599.530029,3760.26001,3760.26001,7158210000,3761.149902
6/10/2000,3761.149902,3817.850098,3582.52002,3787.360107,3787.360107,7007910000,3787.360107
6/17/2000,3787.360107,3990.209961,3669.399902,3685.300049,3685.300049,7632320000,3685.300049
6/24/2000,3685.300049,3840.540039,3634.030029,3763.790039,3763.790039,8070490000,3763.790039
7/1/2000,3763.790039,3884.840088,3610.27002,3841.27002,3841.27002,4912370000,3841.51001
7/8/2000,3841.51001,4051.899902,3720.02002,4041.149902,4041.149902,8446600000,4041.149902
7/15/2000,4041.149902,4089.040039,3835.120117,3908.75,3908.75,7797600000,3908.75
7/22/2000,3908.75,3966.830078,3452.949951,3477.310059,3477.310059,8246960000,3477.530029
7/29/2000,3477.530029,3715.570068,3341.830078,3618.629883,3618.629883,7598570000,3618.629883
8/5/2000,3618.629883,3780.429932,3521.530029,3644.610107,3644.610107,6981850000,3644.629883
8/12/2000,3644.629883,3868.73999,3616.709961,3807.51001,3807.51001,6875350000,3809.860107
8/19/2000,3809.860107,3986.72998,3760.120117,3931.25,3931.25,6977080000,3933.330078
8/26/2000,3933.330078,4147.189941,3921.48999,4099.299805,4099.299805,7775590000,4085.889893
9/2/2000,4085.889893,4085.889893,3811.600098,3813.439941,3813.439941,6568470000,3813.439941
9/9/2000,3813.439941,3852.449951,3610.649902,3676.330078,3676.330078,8213880000,3676.330078
9/16/2000,3676.330078,3810.300049,3505.179932,3701.179932,3701.179932,8903760000,3753.310059
9/23/2000,3753.310059,3774.780029,3533.669922,3570.610107,3570.610107,9568280000,3613.73999
9/30/2000,3613.73999,3613.860107,3262.800049,3311.939941,3311.939941,9631040000,3306.75
10/7/2000,3306.75,3359.929932,2990.98999,3277.77002,3277.77002,9852060000,3265.959961
10/14/2000,3265.959961,3514.959961,2982.040039,3456.610107,3456.610107,10760270000,3451.399902
10/21/2000,3451.399902,3498.040039,2956.199951,3175.25,3175.25,9997780000,3128.939941
10/28/2000,3128.939941,3359.98999,3038.409912,3321.909912,3321.909912,9985360000,3346.149902
11/4/2000,3346.149902,3369.469971,2890.02002,2890.26001,2890.26001,8709340000,2798.949951
11/11/2000,2798.949951,3128.370117,2742.469971,2934.810059,2934.810059,8824140000,2838.290039
11/18/2000,2838.290039,2885.310059,2667.110107,2830.090088,2830.090088,6132400000,2910.570068
11/25/2000,2910.570068,2913.76001,2426.409912,2549.73999,2549.73999,10640500000,2572.879883
12/2/2000,2572.879883,2914.969971,2475.629883,2895.389893,2895.389893,10728890000,2900.280029
12/9/2000,2900.280029,2990.830078,2511.350098,2543.090088,2543.090088,10950370000,2604.080078
12/16/2000,2604.080078,2639,2174.76001,2436.26001,2436.26001,12160720000,2435.51001
12/23/2000,2435.51001,2505.649902,2328.860107,2341.699951,2341.699951,8285240000,2341.280029
12/30/2000,2341.280029,2547.040039,2087.320068,2267.850098,2267.850098,9822280000,2245.439941
1/6/2001,2245.439941,2591.550049,2151.159912,2506.050049,2506.050049,11657560000,2502.659912
1/13/2001,2502.659912,2740.76001,2432.870117,2655.77002,2655.77002,10149030000,2639.610107
1/20/2001,2639.610107,2771.629883,2526.550049,2631.780029,2631.780029,11449880000,2601.669922
1/27/2001,2601.669922,2718.51001,2471.51001,2472.179932,2472.179932,9804190000,2447.719971
2/3/2001,2447.719971,2531.050049,2247.52002,2261.77002,2261.77002,9228870000,2247.199951
2/10/2001,2247.199951,2423.649902,2173.419922,2212.51001,2212.51001,9466250000,2229.909912
2/17/2001,2229.909912,2235.73999,1935.209961,2056.060059,2056.060059,8619460000,2088.030029
2/24/2001,2088.030029,2103.629883,1837.97998,1881.339966,1881.339966,10261280000,1908.619995
3/3/2001,1908.619995,2029.01001,1802.910034,1813.02002,1813.02002,8977800000,1758.060059
3/10/2001,1758.060059,1813.680054,1627.800049,1647.51001,1647.51001,10459500000,1659.699951
3/17/2001,1659.699951,1754.650024,1582.47998,1705.02002,1705.02002,10689590000,1735.530029
3/24/2001,1735.530029,1751.140015,1530.140015,1573.25,1573.25,9961390000,1569.660034
3/31/2001,1569.660034,1594.359985,1348.52002,1448.160034,1448.160034,11055950000,1472.810059
4/7/2001,1472.810059,1714.689941,1437.849976,1714.290039,1714.290039,7927100000,1682.170044
4/14/2001,1682.170044,1981.900024,1603.98999,1933.569946,1933.569946,12001430000,1881.52002
